,gendered,neutral,correct
1753,los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder,los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
1755,El personal intermediador del acuerdo se ocupará también de saber si la oficina tiene las deudas saldadas y si no hay cargas,El personal intermediador del acuerdo se ocupará también de saber si la oficina tiene las deudas saldadas y si no hay cargas,False
1764,Las personas intermediarias del acuerdo se ocuparán también de saber si el local tiene las deudas saldadas,Las personas intermediarias del acuerdo se ocuparán también de saber si el local tiene las deudas saldadas,False
1770,"No obstante , los aspirantes deberán comunicar inmediatamente a la Comisión cualquier modificación sustancial de la información del estadio.","No obstante , quienes aspiren deberán comunicar inmediatamente a la Comisión cualquier modificación sustancial de la información del estadio.",False
1774,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especialistas en su cirugía,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto en su cirugía,False
1775,todas las que hablamos nos hemos disculpado,las personas que hablamos nos hemos disculpado,False
1777,Estos ordenadores permitirán que los administrativos trabaje con más celeridad,Estos ordenadores permitirán que el personal administrativo trabaje con más celeridad,False
1786,Ayer vimos en la fiesta a las médicas y sus maridos,Ayer vimos en la fiesta al personal médico y sus parejas,False
1793,También necesita que las políticas se formulen con los colaboradores de los líderes indígenas,También necesita que las políticas se formulen en colaboración con los líderes indígenas,False
1794,"los organizadores de los programas sabían que , para ser efectivos , era necesario acompañar la participación","el equipo organizador de los programas sabía que , para ser efectivos , era necesario acompañar la participación",False
1798,Todos los ponentes al viaje contará con una carpeta con materiales,Cada ponente al viaje contará con una carpeta con materiales,False
1803,Las páginas web podrán reenviar la información sin olvidar nunca la procedencia y el autor de las encuestas,Las páginas web podrán reenviar la información sin olvidar nunca la procedencia y la autoría de las encuestas,False
1840,Todos los asistentes al congreso recibirá un dossier explicativo,Cada asistente al congreso recibirá un dossier explicativo,False
1852,Cuando Los beneficiarios de una asignación por minusvalía fallezcan sin que se reúnan las condiciones se aplicará el protocolo,Cuando Las personas beneficiarias de una asignación por minusvalía fallezcan sin que se reúnan las condiciones se aplicará el protocolo,False
1866,Todos los ponentes al viaje contará con un regalo,Cada ponente al viaje contará con un regalo,False
1876,Todos los ponentes al viaje obtendrá un regalo,Cada ponente al viaje obtendrá un regalo,False
1878,Todos los ponentes al viaje obtendrá una carpeta con materiales,Cada ponente al viaje obtendrá una carpeta con materiales,False
1885,los estudiantes de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,el estudiantado de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,False
1887,los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerse con él,los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
1889,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
1892,Todos los ponentes al congreso recibirá una acreditación,Cada ponente al congreso recibirá una acreditación,False
1897,Disfruto seáis vosotros quienes de vez en cuando me lea algo,Disfruto alguna persona de vez en cuando me lea algo,False
1903,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con los enfermeros codo con codo,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario codo con codo,False
1911,Todos los ponentes al congreso recibirá una carpeta con materiales,Cada ponente al congreso recibirá una carpeta con materiales,False
1921,Todos los ponentes al congreso obtendrá una acreditación,Cada ponente al congreso obtendrá una acreditación,False
1926,Cuando son niñas No saben caminar correctamente,En su niñez No saben caminar correctamente,False
1931,Todos los ponentes al viaje recibirá un diploma,Cada ponente al viaje recibirá un diploma,False
1936,Todos los asistentes al congreso contará con una carpeta con materiales,Cada asistente al congreso contará con una carpeta con materiales,False
1937,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especialistas de nuestro centro,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto de nuestro centro,False
1940,Todos los ponentes al curso contará con un dossier explicativo,Cada ponente al curso contará con un dossier explicativo,False
1948,"Trascurrido este tiempo , los limpiadores , las limpiadoras retirará todas las mesas y las sillas","Trascurrido este tiempo , el personal de limpieza retirará todas las mesas y las sillas",False
1961,Todos los asistentes al congreso contará con un regalo,Cada asistente al congreso contará con un regalo,False
1967,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal especializado en este caso,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal especializado en este caso,False
1974,Se ha comunicado a ciudadanas los resultados de la votación,Se ha comunicado a la ciudadanía los resultados de la votación,False
1985,Disfruto alguna persona de vez en cuando me lea algo,Disfruto alguna persona de vez en cuando me lea algo,False
2000,Estos ordenadores permitirán que los administrativos trabaje con más rapidez,Estos ordenadores permitirán que el personal administrativo trabaje con más rapidez,False
2024,Otro campo de actuación importante fueron los hospitales dónde se trabaja con los enfermeros de manera estrecha,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal sanitario de manera estrecha,False
2043,Estos servicios permitirán que los administrativos trabaje con más rapidez y realice sus actividades de manera más óptima,Estos servicios permitirán que el personal administrativo trabaje con más rapidez y realice sus actividades de manera más óptima,False
2047,Estas herramientas permitirán que los administrativos trabaje con más celeridad,Estas herramientas permitirán que el personal administrativo trabaje con más celeridad,False
2049,Todas tenemos una imagen de nosotros mismos,Cada persona tiene una imagen de sí misma,False
2058,Podrá solicitar la beca todo estudiante se haya matriculado en la Universidad de Jaén.,Podrá solicitar la beca todo estudiante se haya matriculado en la Universidad de Jaén.,False
2059,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especializados en su cirugía,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto en su cirugía,False
2060,"Pasado el plazo los limpiadores , las limpiadoras retirará todas las mesas y las sillas",Pasado el plazo el personal de limpieza retirará todas las mesas y las sillas,False
2063,Todos los ponentes al viaje recibirá un regalo,Cada ponente al viaje recibirá un regalo,False
2066,Anímate hazte socio y colabora con nuestra asociación,Anímate asóciate y colabora con nuestra asociación,False
2067,Requisitos para estudiantes extranjeras,Requisitos para alumnado extranjero,False
2075,las inmigrantes es siempre especialmente vulnerable,el colectivo inmigrante es siempre especialmente vulnerable,False
2080,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con las enfermeras,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario,False
2082,Solo se admiten estudiantes cualificadas,Solo se admiten estudiantes con cualificación,False
2085,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con las enfermeras de manera estrecha,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal sanitario de manera estrecha,False
2107,Me gusta que seáis vosotros quienes me lea algo,Me gusta que alguna persona me lea algo,False
2113,los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el control,los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
2125,Cuando el alumno inclusión en el plan de estudios se tomarán medidas,Cuando se inclusión en el plan de estudios se tomarán medidas,False
2127,Otro campo de actuación importante fueron los hospitales dónde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal médico de manera estrecha,False
2128,"¿Cómo cabe esperar que la situación mejore si los encargados , las encargadas de maximizar los beneficios apenas tiene en cuenta este aspecto?",¿Cómo cabe esperar que la situación mejore si el personal encargado de maximizar los beneficios apenas tiene en cuenta este aspecto?,False
2143,"los organizadores de los programas tenían en cuenta que , para ser efectivos , era necesario acompañar la participación","el equipo organizador de los programas tenía en cuenta que , para ser efectivos , era necesario acompañar la participación",False
2153,En la mesa redonda intervendrán distintas participantes Dichos ponentes serán especialistas en la materia,En la mesa redonda intervendrán diferentes participantes Tales ponentes serán especialistas en la materia,False
2155,Todos los ponentes al congreso obtendrá un regalo,Cada ponente al congreso obtendrá un regalo,False
2157,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder o mantenerse con él,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él,False
2158,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con las enfermeras,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal sanitario,False
2160,los partidos funcionan únicamente como vehículo para que alguno pueda hacerse con el control,los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
2170,Solo se admiten estudiantes autorizadas,Solo se admiten estudiantes con autorización,False
2185,"Después de este tiempo los limpiadores , las limpiadoras retirará todas las mesas y las sillas",Después de este tiempo el personal de limpieza retirará todas las mesas y las sillas,False
2192,"Cuyo uso hubiera sido cedido a parientes , incluyendo afines","Cuyo uso hubiera sido cedido a parientes , incluyendo afines",False
2199,"Previamente , los aspirantes deberán notificar inmediatamente a la Comisión cualquier modificación importante de la información del estadio.","Previamente , quienes aspiren deberán notificar inmediatamente a la Comisión cualquier modificación importante de la información del estadio.",False
2200,Las formadoras Ana y Josefa impartirán la asignatura de Física.,Las formadoras Ana y Josefa impartirán la asignatura de Física.,False
2205,Las profesoras Lucía y Sofía impartirán el temario de Educación Física.,Las profesoras Lucía y Sofía impartirán el temario de Educación Física.,False
2208,Se asesora a las estudiantes con dificultades,Se asesora a estudiantes con dificultades,False
2210,Todos los asistentes al viaje obtendrá una carpeta con materiales,Cada asistente al viaje obtendrá una carpeta con materiales,False
2215,Todos los ponentes al congreso contará con una acreditación,Cada ponente al congreso contará con una acreditación,False
2219,la estudiante de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,cualquiera que estudien se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,False
2221,Todos los asistentes al curso obtendrá una carpeta con materiales,Cada asistente al curso obtendrá una carpeta con materiales,False
2224,Todos los asistentes al congreso obtendrá un dossier explicativo,Cada asistente al congreso obtendrá un dossier explicativo,False
2226,La normativa está enfocada a los voluntarios y les explicaba sus deberes y obligaciones,La normativa está enfocada al voluntariado y les explicaba sus deberes y obligaciones,False
2233,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con los enfermeros de manera estrecha,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal sanitario de manera estrecha,False
2238,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario codo con codo,False
2246,Cuando se inclusión en el plan de estudios comenzará el proceso,Cuando se inclusión en el plan de estudios comenzará el proceso,False
2248,"Pasado el plazo los limpiadores , las limpiadoras retirará todas las infraestructuras",Pasado el plazo el personal de limpieza retirará todas las infraestructuras,False
2249,El número de los formadores admitidos ha excedido los números anteriores,El número de docentes admitidos ha excedido los números anteriores,False
2252,Establecer un protocolo de actuación para todos las formadoras de manera justa,Establecer un protocolo de actuación para todo el profesorado de manera justa,False
2277,"En consecuencia , el premio se entregará totalmente a los candidatos seleccionados en una ceremonia","En consecuencia , el premio se entregará totalmente a las candidaturas seleccionadas en una ceremonia",False
2285,"En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder","En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder",False
2287,Todos los asistentes al congreso recibirá un diploma,Cada asistente al congreso recibirá un diploma,False
2289,Es importante cubrir las carencias que tiene el equipo promotor contratando personal cualificado con un perfil diferente para compensar las carencias,Es importante cubrir las carencias que tiene el equipo promotor contratando personal cualificado con un perfil diferente para compensar las carencias,False
2293,"Trascurrido este tiempo , los limpiadores , las limpiadoras retirará todos los materiales","Trascurrido este tiempo , el personal de limpieza retirará todos los materiales",False
2295,Disfruto seáis vosotros quienes de vez en cuando me recite algo,Disfruto alguien de vez en cuando me recite algo,False
2301,Todos los asistentes al congreso contará con un diploma,Cada asistente al congreso contará con un diploma,False
2314,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los expertos en este caso,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal especializado en este caso,False
2331,Todos los asistentes al curso contará con una acreditación,Cada asistente al curso contará con una acreditación,False
2334,El tribunal estará compuesto por profesionales acreditadas,El tribunal estará compuesto por profesionales con acreditación,False
2335,El asentamiento reflejaba los,El asentamiento reflejaba los,False
2347,Todos los asistentes al viaje recibirá un regalo,Cada asistente al viaje recibirá un regalo,False
2356,Todos los ponentes al curso obtendrá una acreditación,Cada ponente al curso obtendrá una acreditación,False
2357,"Es mandatario que el mentor esté disponible para capacitar , ayudar y dar apoyo a su . estudiante","Es mandatario que el mentor esté disponible para capacitar , ayudar y dar apoyo a su . estudiantado",False
2358,Otro campo de actuación importante han sido los hospitales dónde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal médico de manera estrecha,False
2361,Todos los asistentes al congreso obtendrá un regalo,Cada asistente al congreso obtendrá un regalo,False
2369,Todos los asistentes al viaje obtendrá un regalo,Cada asistente al viaje obtendrá un regalo,False
2373,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal médico de manera estrecha,False
2384,"Después de este tiempo los limpiadores , las limpiadoras retirará todas las infraestructuras",Después de este tiempo el personal de limpieza retirará todas las infraestructuras,False
2390,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal médico de manera estrecha,False
2397,Los profesores Martín y Lucas impartirán el temario de Química.,Los profesores Martín y Lucas impartirán el temario de Química.,False
2398,Todos los ponentes al curso recibirá una acreditación,Cada ponente al curso recibirá una acreditación,False
2406,Todos los ponentes al congreso contará con un diploma,Cada ponente al congreso contará con un diploma,False
2412,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
2419,Otro campo de actuación importante fueron los hospitales dónde se trabaja con los médicos codo con codo,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal médico codo con codo,False
2424,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especializados de nuestro centro,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto de nuestro centro,False
2438,"¿Cómo cabe esperar que la situación empeore si los encargados , las encargadas de maximizar los beneficios apenas tiene en cuenta este aspecto?",¿Cómo cabe esperar que la situación empeore si el personal encargado de maximizar los beneficios apenas tiene en cuenta este aspecto?,False
2444,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especializados en su cirugía,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto en su cirugía,False
2452,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal médico de manera estrecha,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal médico de manera estrecha,False
2456,Todos los asistentes al viaje recibirá una carpeta con materiales,Cada asistente al viaje recibirá una carpeta con materiales,False
2466,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario codo con codo,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario codo con codo,False
2469,Estos servicios permitirán que los administrativos trabaje con más eficacia,Estos servicios permitirán que el personal administrativo trabaje con más eficacia,False
2479,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con los médicos codo con codo,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal médico codo con codo,False
2489,Todos los asistentes al congreso recibirá una acreditación,Cada asistente al congreso recibirá una acreditación,False
2495,Debe figurar el nombre del ocupante la plaza,Debe figurar el nombre de quien ocupa la plaza,False
2503,Cuando la alumna inclusión en el plan de estudios comenzará el proceso,Cuando se inclusión en el plan de estudios comenzará el proceso,False
2510,"La de Barcelona , organizada por los directores del departamento de finanzas , se celebrará el 25 de julio","La de Barcelona , organizada por el equipo directivo del departamento de finanzas , se celebrará el 25 de julio",False
2552,Todos los ponentes al congreso recibirá un diploma,Cada ponente al congreso recibirá un diploma,False
2577,Todos los asistentes al curso contará con una carpeta con materiales,Cada asistente al curso contará con una carpeta con materiales,False
2579,"Estas iniciativas se desarrollan en todo el espectro de interacciones entre los funcionarios y el público , ya sea en la contratación , salud entre otros","Estas iniciativas se desarrollan en todo el espectro de interacciones entre el personal funcionario y el público , ya sea en la contratación , salud entre otros",False
2608,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especialistas,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto,False
2611,Todos los asistentes al curso contará con un diploma,Cada asistente al curso contará con un diploma,False
2613,Todos los asistentes al congreso contará con una acreditación,Cada asistente al congreso contará con una acreditación,False
2614,"Cuando Las beneficiarias de una asignación por invalidez no reúna las condiciones , se procederá a su expulsión","Cuando Las personas beneficiarias de una asignación por invalidez no reúna las condiciones , se procederá a su expulsión",False
2618,el estudiante de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,quien estudie en se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,False
2621,Todos los ponentes al curso obtendrá un dossier explicativo,Cada ponente al curso obtendrá un dossier explicativo,False
2632,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por los expertos de nuestro centro,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por el personal especializado de nuestro centro,False
2633,Todos los ponentes al congreso obtendrá un diploma,Cada ponente al congreso obtendrá un diploma,False
2635,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con los médicos codo con codo,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal médico codo con codo,False
2640,Todos los ponentes al viaje obtendrá un dossier explicativo,Cada ponente al viaje obtendrá un dossier explicativo,False
2643,los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el poder,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
2646,"¿Cómo podemos esperar que la situación mejore si los encargados , las encargadas de maximizar los beneficios apenas tiene en cuenta este aspecto?",¿Cómo podemos esperar que la situación mejore si el personal encargado de maximizar los beneficios apenas tiene en cuenta este aspecto?,False
2651,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especializados,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto,False
2656,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con las enfermeras de manera estrecha,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario de manera estrecha,False
2669,Literatura infantil,Literatura infantil,False
2678,Me gusta que seáis vosotros quienes me recite algo,Me gusta que alguien me recite algo,False
2684,Todos los ponentes al viaje contará con un dossier explicativo,Cada ponente al viaje contará con un dossier explicativo,False
2692,Otro campo de actuación importante han sido los hospitales dónde se trabaja con las enfermeras de manera estrecha,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal sanitario de manera estrecha,False
2699,"el equipo organizador de los programas era muy consciente de que , para ser efectivos , era necesario acompañar la participación","el equipo organizador de los programas era muy consciente de que , para ser efectivos , era necesario acompañar la participación",False
2701,Mi primo es licenciado en ambientales,Mi primo es licenciado en ambientales,False
2720,el autor de esta novela es William Shakespeare,la autoría de esta novela es William Shakespeare,False
2733,Todos los asistentes al congreso recibirá un regalo,Cada asistente al congreso recibirá un regalo,False
2752,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los especialistas en este caso,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
2753,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con los médicos,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal médico,False
2759,"quienes necesiten ayuda , que acudan al mostrador","quienes necesiten ayuda , que acudan al mostrador",False
2760,Otro campo de actuación importante han sido los hospitales dónde se trabaja con los médicos,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal médico,False
2771,Todos los asistentes al viaje contará con un regalo,Cada asistente al viaje contará con un regalo,False
2773,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los especialistas en su cirugía,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto en su cirugía,False
2784,el día de tu boda tienes que contar con las familiares,el día de tu boda tienes que contar con la familia,False
2800,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especialistas,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto,False
2817,los equipos de futbol funcionan únicamente como vehículo para que alguno pueda hacerse con el control,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
2823,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal sanitario,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal sanitario,False
2826,Todos los asistentes al viaje contará con una acreditación,Cada asistente al viaje contará con una acreditación,False
2836,Todos los ponentes al curso recibirá una carpeta con materiales,Cada ponente al curso recibirá una carpeta con materiales,False
2841,el autor de este ensayo es Virginia Wolf,la autoría de este ensayo es Virginia Wolf,False
2851,Todos los asistentes al viaje contará con una carpeta con materiales,Cada asistente al viaje contará con una carpeta con materiales,False
2868,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal médico de manera estrecha,False
2874,"Trascurrido este tiempo , los limpiadores , las limpiadoras retirará todas las infraestructuras","Trascurrido este tiempo , el personal de limpieza retirará todas las infraestructuras",False
2882,Así pues elegir libremente a sus dirigentes políticos.,Así pues elegir libremente a sus dirigentes políticos.,False
2892,Todos los asistentes al curso obtendrá un diploma,Cada asistente al curso obtendrá un diploma,False
2902,los inmigrantes es siempre especialmente vulnerable,el colectivo inmigrante es siempre especialmente vulnerable,False
2907,Todos los asistentes al viaje contará con un dossier explicativo,Cada asistente al viaje contará con un dossier explicativo,False
2922,Todos los ponentes al curso recibirá un regalo,Cada ponente al curso recibirá un regalo,False
2923,Aún no tenemos un estudio suficiente del motivo por el cual algunas tienen reacciones,Aún no tenemos un estudio suficiente del motivo por el cual ciertas personas tienen reacciones,False
2929,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los especializados,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto,False
2930,Todos los ponentes al curso obtendrá una carpeta con materiales,Cada ponente al curso obtendrá una carpeta con materiales,False
2944,Otro campo de actuación importante han sido los hospitales dónde se trabaja con los enfermeros de manera estrecha,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal sanitario de manera estrecha,False
2945,Cada ponente al congreso recibirá una carpeta con materiales,Cada ponente al congreso recibirá una carpeta con materiales,False
2947,Habitualmente los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el poder o mantenerse con él,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él,False
2948,"Con demasiada frecuencia , los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el control","Con demasiada frecuencia , los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control",False
2964,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especializados,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto,False
2968,Todos los ponentes al congreso recibirá un dossier explicativo,Cada ponente al congreso recibirá un dossier explicativo,False
2974,Las restantes vocales,El resto de vocales,False
2975,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con los enfermeros de manera estrecha,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario de manera estrecha,False
2988,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especializados en este caso,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
2994,Estos ordenadores permitirán que los administrativos trabaje con más eficacia,Estos ordenadores permitirán que el personal administrativo trabaje con más eficacia,False
3010,Todos los ponentes al congreso obtendrá una carpeta con materiales,Cada ponente al congreso obtendrá una carpeta con materiales,False
3019,Esta decisión afecta a las cántabras,Esta decisión afecta a la población cántabra,False
3020,Todos los ponentes al viaje recibirá un dossier explicativo,Cada ponente al viaje recibirá un dossier explicativo,False
3023,Todos los asistentes al viaje obtendrá un diploma,Cada asistente al viaje obtendrá un diploma,False
3027,Las profesoras María y Carmen impartirán la asignatura de Educación Física.,Las profesoras María y Carmen impartirán la asignatura de Educación Física.,False
3032,También necesita que las políticas se formulen con el colaborador de los líderes indígenas,También necesita que las políticas se formulen en colaboración con los líderes indígenas,False
3034,los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder o mantenerse con él,los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él,False
3043,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con los médicos,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal médico,False
3044,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con los enfermeros codo con codo,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario codo con codo,False
3048,Otro campo de actuación importante fueron los hospitales dónde se trabaja con los enfermeros codo con codo,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal sanitario codo con codo,False
3069,Las páginas web podrán hacer difusión haciendo constar siempre la procedencia y el autor de las encuestas,Las páginas web podrán hacer difusión haciendo constar siempre la procedencia y la autoría de las encuestas,False
3078,"Cuando Los beneficiarios de una asignación por invalidez no reúna las condiciones , se procederá a su expulsión","Cuando Las personas beneficiarias de una asignación por invalidez no reúna las condiciones , se procederá a su expulsión",False
3094,Mientras esté ingresado no debe tomar agua que no le sea suministrada por los especializados,Mientras esté ingresado no debe tomar agua que no le sea suministrada por el personal experto,False
3114,los partidos funcionan únicamente como vehículo para que alguno pueda hacerse con el poder,los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
3116,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los expertos en este caso,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal especializado en este caso,False
3118,Todos los asistentes al viaje contará con un diploma,Cada asistente al viaje contará con un diploma,False
3126,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con los enfermeros,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario,False
3130,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerse con él,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
3132,los aspirantes deberán notificar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,quienes aspiren deberán notificar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,False
3136,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal médico,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal médico,False
3157,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el poder,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
3161,Otro campo de actuación importante fueron los hospitales dónde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal sanitario codo con codo,False
3162,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especialistas en su cirugía,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto en su cirugía,False
3200,la plantilla la empresa,la plantilla la empresa,False
3222,Todos los asistentes al curso recibirá un diploma,Cada asistente al curso recibirá un diploma,False
3238,Disfruto seáis vosotros quienes de vez en cuando me recite algo,Disfruto alguna persona de vez en cuando me recite algo,False
