gender_exclusive,gender_inclusive,difficulty,origin
La empleada de limpieza está desinfectando las áreas comunes del hotel.,El personal de limpieza está manteniendo impecables los espacios comunes.,plural_complejo,GPT-3.5_fs_multiplication
Los actores están ensayando para la próxima obra de teatro.,Las actrices y actores están ensayando para la próxima obra de teatro.,plural_complejo,GPT-3.5_fs_multiplication
El promotor está promocionando un nuevo proyecto residencial.,El equipo promotor está promocionando un nuevo proyecto residencial.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos veterinarios están examinando a los animales en el zoológico.,El equipo médico veterinario está examinando a los animales en el zoológico.,plural_complejo,GPT-3.5_fs_multiplication
Los peluqueros están cortando el cabello de los clientes en la peluquería.,Los peluqueros y las peluqueras están cortando el cabello de los clientes en la peluquería.,plural_complejo,GPT-3.5_fs_multiplication
Las mujeres de la limpieza están manteniendo impecable la oficina.,El personal de limpieza está manteniendo impecables los espacios comunes.,plural_complejo,GPT-3.5_fs_multiplication
Los músicos están ensayando para el concierto de esta noche.,Los músicos y músicas están ensayando para el concierto de esta noche.,plural_complejo,GPT-3.5_fs_multiplication
Los pintores están decorando las paredes del museo con sus obras.,Las pintoras y los pintores están decorando las paredes del museo con sus obras.,plural_complejo,GPT-3.5_fs_multiplication
Los empresarios están negociando un nuevo contrato con el cliente.,Las empresarias y los empresarios están negociando un nuevo contrato con el cliente.,plural_complejo,GPT-3.5_fs_multiplication
Los científicos están realizando experimentos en el laboratorio.,Las científicas y los científicos están realizando experimentos en el laboratorio.,plural_complejo,GPT-3.5_fs_multiplication
Los biólogos están estudiando la flora y fauna en el bosque.,Los biólogos y biólogas están estudiando la flora y fauna en el bosque.,plural_complejo,GPT-3.5_fs_multiplication
Los abogados están preparando la defensa para el juicio.,La abogacía está preparando la defensa para el juicio.,plural_complejo,GPT-3.5_fs_multiplication
Las secretarias están organizando la agenda del director.,El personal de secretaría está organizando la agenda del director.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos están atendiendo a los pacientes en la sala de espera.,Las y los médicos están atendiendo a los pacientes en la sala de espera.,plural_complejo,GPT-3.5_fs_multiplication
Los ingenieros están diseñando un nuevo sistema de transporte público.,Las y los ingenieros están diseñando un nuevo sistema de transporte público.,plural_complejo,GPT-3.5_fs_multiplication
Los conductores de autobuses están llevando a los estudiantes al colegio.,Las y los conductores de autobuses están llevando a los estudiantes al colegio.,plural_complejo,GPT-3.5_fs_multiplication
Los chefs están preparando la cena de gala para el evento.,Las y los chefs están preparando la cena de gala para el evento.,plural_complejo,GPT-3.5_fs_multiplication
Los empleados están colaborando en un proyecto conjunto.,Las empleadas y los empleados están colaborando en un proyecto conjunto.,plural_complejo,GPT-3.5_fs_multiplication
Los migrantes y sus familias están buscando un lugar seguro donde vivir.,La población migrante está buscando un lugar seguro donde vivir.,plural_complejo,GPT-3.5_fs_multiplication
Los diseñadores están creando un nuevo logotipo para la empresa.,El equipo de diseño está creando un nuevo logotipo para la empresa.,plural_complejo,GPT-3.5_fs_multiplication
Los profesores están impartiendo clases de matemáticas en el instituto.,Las profesoras y profesores están impartiendo clases de matemáticas en el instituto.,plural_complejo,GPT-3.5_fs_multiplication
Los escritores están firmando autógrafos en la feria del libro.,Las escritoras y los escritores están firmando autógrafos en la feria del libro.,plural_complejo,GPT-3.5_fs_multiplication
Los artistas están colaborando en una obra de arte comunitaria.,Las y los artistas están colaborando en una obra de arte comunitaria.,plural_complejo,GPT-3.5_fs_multiplication
Los voluntarios están organizando un evento benéfico para los niños del orfanato.,El voluntariado está organizando actividades para las niñas y niños.,plural_complejo,GPT-3.5_fs_multiplication
El equipo está compuesto por ingenieros altamente capacitados.,El equipo de ingeniería está compuesto por profesionales altamente capacitados.,plural_complejo,GPT-3.5_fs_multiplication
Los trabajadores de la fábrica están en huelga por mejores condiciones laborales.,Las trabajadoras y trabajadores de la fábrica están en huelga por mejores condiciones laborales.,plural_complejo,GPT-3.5_fs_multiplication
Los fotógrafos capturan momentos únicos en sus imágenes.,Los fotógrafos y fotógrafas capturan momentos únicos en sus imágenes.,plural_complejo,GPT-3.5_fs_multiplication
Los maestros son fundamentales en la educación de nuestros hijos.,El equipo educativo es fundamental en la educación de nuestros hijos.,plural_complejo,GPT-3.5_fs_multiplication
Los atletas están entrenando duro para la próxima competición.,El equipo deportivo está entrenando duro para la próxima competición.,plural_complejo,GPT-3.5_fs_multiplication
Las secretarias organizan eficientemente el flujo de trabajo en la oficina.,La secretaría organiza eficientemente el flujo de trabajo en la oficina.,plural_complejo,GPT-3.5_fs_multiplication
Los científicos están investigando una cura para esta enfermedad.,El equipo de investigación está investigando una cura para esta enfermedad.,plural_complejo,GPT-3.5_fs_multiplication
Los programadores están desarrollando un nuevo software para la empresa.,Las programadoras y programadores están desarrollando un nuevo software para la empresa.,plural_complejo,GPT-3.5_fs_multiplication
Los investigadores científicos están haciendo importantes descubrimientos en el laboratorio.,Los investigadores e investigadoras científicas están haciendo importantes descubrimientos en el laboratorio.,plural_complejo,GPT-3.5_fs_multiplication
Los músicos tocan melodías hermosas en el concierto.,La orquesta toca melodías hermosas en el concierto.,plural_complejo,GPT-3.5_fs_multiplication
Las Enfermeras y médicos están trabajando en turnos de 24 horas para atender a los pacientes.,El personal sanitario está trabajando en turnos de 24 horas para atender a los pacientes.,plural_complejo,GPT-3.5_fs_multiplication
Los fotógrafos capturan la inocencia y la alegría de los niños en sus fotografías.,Los fotógrafos y fotógrafas capturan la inocencia y la alegría de los niños y niñas en sus fotografías.,plural_complejo,GPT-3.5_fs_multiplication
Los representantes de los trabajadores están negociando un aumento salarial con la dirección.,El grupo de representantes de la plantilla está negociando un aumento salarial con la dirección.,plural_complejo,GPT-3.5_fs_multiplication
Los chefs preparan platos exquisitos en el restaurante de cinco estrellas.,Los y las chefs preparan platos exquisitos en el restaurante de cinco estrellas.,plural_complejo,GPT-3.5_fs_multiplication
Este proyecto está destinado a niños de todas las edades.,Este proyecto está destinado a niñas y niños de todas las edades.,plural_complejo,GPT-3.5_fs_multiplication
Los bailarines interpretan con gracia y elegancia cada movimiento.,Los bailarines y las bailarinas interpretan con gracia y elegancia cada movimiento.,plural_complejo,GPT-3.5_fs_multiplication
Los maestros inspiran a sus alumnos a alcanzar sus sueños.,El equipo docente inspira a sus alumnas y alumnos a alcanzar sus sueños.,plural_complejo,GPT-3.5_fs_multiplication
Los trabajadores y sus esposas están invitados a la cena de fin de año.,La plantilla y sus familias están invitadas a la cena de fin de año.,plural_complejo,GPT-3.5_fs_multiplication
Los chilenos están celebrando el día de la independencia con desfiles y fiestas.,La población chilena está celebrando el día de la independencia con desfiles y fiestas.,plural_complejo,GPT-3.5_fs_multiplication
Los abogados defienden los derechos de sus clientes en el tribunal.,La abogacía defiende los derechos de sus clientes en el tribunal.,plural_complejo,GPT-3.5_fs_multiplication
Los peluqueros crean peinados modernos y atractivos para sus clientes.,Los peluqueros y peluqueras crea peinados modernos y atractivos para sus clientes.,plural_complejo,GPT-3.5_fs_multiplication
Los entrenadores deportivos motivan a los atletas a dar lo mejor de sí mismos.,Los entrenadores y entrenadoras motivan a los deportistas a dar lo mejor de sí mismos.,plural_complejo,GPT-3.5_fs_multiplication
Los científicos políticos analizan las tendencias políticas en el país.,Las científicas y científicos políticos analiza las tendencias políticas en el país.,plural_complejo,GPT-3.5_fs_multiplication
Los músicos emocionan al público con su talento en el escenario.,El grupo musical emociona al público con su talento en el escenario.,plural_complejo,GPT-3.5_fs_multiplication
Los chefs cuidan cada detalle en la presentación de sus platos.,Los y las chefs cuidan cada detalle en la presentación de sus platos.,plural_complejo,GPT-3.5_fs_multiplication
Los trabajadores construyen las bases de nuestra sociedad.,Las trabajadoras y trabajadores construyen las bases de nuestra sociedad.,plural_complejo,GPT-3.5_fs_multiplication
Los científicos están haciendo importantes avances en la investigación médica.,Las científicas y científicos están haciendo importantes avances en la investigación médica.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos están tratando a los pacientes con la mayor dedicación.,El personal médico está tratando a las pacientes y los pacientes con la mayor dedicación.,plural_complejo,GPT-3.5_fs_multiplication
Los veterinarios cuidan la salud y el bienestar de los animales.,Los veterinarios y veterinarias cuidan la salud y el bienestar de los animales.,plural_complejo,GPT-3.5_fs_multiplication
Los hombres de negocios están buscando nuevas oportunidades en el mercado internacional.,Las mujeres y hombres de negocios están buscando nuevas oportunidades en el mercado internacional.,plural_complejo,GPT-3.5_fs_multiplication
Los entrenadores deportivos guían a los deportistas hacia la excelencia.,Los entrenadores y entrenadoras deportivas guían a los deportistas hacia la excelencia.,plural_complejo,GPT-3.5_fs_multiplication
Los redactores están revisando el contenido para asegurar su calidad.,El equipo de redacción está revisando el contenido para asegurar su calidad.,plural_complejo,GPT-3.5_fs_multiplication
Los empleados son el activo más valioso de nuestra empresa.,El personal trabajador es el activo más valioso de nuestra empresa.,plural_complejo,GPT-3.5_fs_multiplication
Los investigadores están analizando los datos recopilados en el estudio.,El equipo de investigación está analizando los datos recopilados en el estudio.,plural_complejo,GPT-3.5_fs_multiplication
Los científicos están investigando una cura para esta enfermedad.,Las científicas y científicos están investigando una cura para esta enfermedad.,plural_complejo,GPT-3.5_fs_multiplication
A los visitantes se les proporcionará un mapa del parque.,Se les ofrecerá a las visitas un recorrido guiado por el museo.,plural_complejo,GPT-3.5_fs_multiplication
Se espera que los clientes estén satisfechos con nuestro servicio.,Se espera que la clientela esté satisfecha con nuestro servicio.,plural_complejo,GPT-3.5_fs_multiplication
Los niños disfrutaron de la obra de teatro en el parque.,Las niñas y niños disfrutaron de la obra de teatro en el parque.,plural_complejo,GPT-3.5_fs_multiplication
Los participantes deben registrarse antes del evento.,Quienes deseen participar deben registrarse antes del evento.,plural_complejo,GPT-3.5_fs_multiplication
Los representantes de los trabajadores se reunirán mañana.,El grupo de representantes de la plantilla se reunirá mañana.,plural_complejo,GPT-3.5_fs_multiplication
Los trabajadores y sus esposas fueron invitados a la fiesta de fin de año.,Toda la plantilla y sus familias fueron invitados a la fiesta de fin de año.,plural_complejo,GPT-3.5_fs_multiplication
Los veterinarios atendieron a los animales heridos en el incendio.,Los veterinarios y veterinarias atendieron a los animales heridos en el incendio.,plural_complejo,GPT-3.5_fs_multiplication
Los peluqueros recomiendan un corte de pelo corto para el verano.,Los peluqueros y peluqueras recomiendan un corte de pelo corto para el verano.,plural_complejo,GPT-3.5_fs_multiplication
Los diseñadores presentaron sus nuevas colecciones en la pasarela.,Las diseñadoras y diseñadores presentaron sus nuevas colecciones en la pasarela.,plural_complejo,GPT-3.5_fs_multiplication
Los entrenadores motivaron a los jugadores antes del partido.,Los entrenadores y entrenadoras motivaron a los jugadores antes del partido.,plural_complejo,GPT-3.5_fs_multiplication
Los hombres de negocio discutieron estrategias de marketing.,Las mujeres y hombres de negocios discutieron estrategias de marketing.,plural_complejo,GPT-3.5_fs_multiplication
Los camareros sirvieron los platos con elegancia en la cena.,Las camareras y camareros sirvieron los platos con elegancia en la cena.,plural_complejo,GPT-3.5_fs_multiplication
Los cuidadores brindaron atención personalizada a los ancianos.,Los cuidadores y cuidadoras brindaron atención personalizada a los ancianos.,plural_complejo,GPT-3.5_fs_multiplication
Los abogados defendieron los derechos de sus clientes en el juicio.,La abogacía defendió los derechos de sus clientes en el juicio.,plural_complejo,GPT-3.5_fs_multiplication
Los lugareños conocen los mejores lugares para comer en la ciudad.,Las personas del lugar conocen los mejores sitios para comer en la ciudad.,plural_complejo,GPT-3.5_fs_multiplication
Los deudores deben pagar sus deudas antes de la fecha límite.,Las personas que tienen deudas deben pagarlas antes de la fecha límite.,plural_complejo,GPT-3.5_fs_multiplication
Los delincuentes fueron arrestados por la policía la semana pasada.,Quienes cometieron actos delictivos fueron arrestados por la policía la semana pasada.,plural_complejo,GPT-3.5_fs_multiplication
Se les ofrecerá a los visitantes un recorrido guiado por el museo.,Se les ofrecerá a las visitas un recorrido guiado por el museo.,plural_complejo,GPT-3.5_fs_multiplication
Los clientes pueden dejar sus comentarios en nuestro libro de quejas.,Se espera que la clientela esté satisfecha con nuestro servicio.,plural_complejo,GPT-3.5_fs_multiplication
Los niños están emocionados por la llegada de las vacaciones de verano.,Las niñas y niños están emocionados por la llegada de las vacaciones de verano.,plural_complejo,GPT-3.5_fs_multiplication
Los participantes deben completar el formulario de inscripción.,Quienes deseen participar deben completar el formulario de inscripción.,plural_complejo,GPT-3.5_fs_multiplication
Los representantes de los trabajadores negociarán mejores condiciones laborales.,El grupo de representantes de la plantilla negociará mejores condiciones laborales.,plural_complejo,GPT-3.5_fs_multiplication
Los trabajadores y sus esposas asistirán a la fiesta de Navidad.,La plantilla y sus familias asistirán a la fiesta de Navidad.,plural_complejo,GPT-3.5_fs_multiplication
Los veterinarios trataron a los animales heridos con cuidado.,Los veterinarios y veterinarias trataron a los animales heridos con cuidado.,plural_complejo,GPT-3.5_fs_multiplication
Los peluqueros ofrecen servicios de peinado para toda la familia.,Los peluqueros y peluqueras ofrecen servicios de peinado para toda la familia.,plural_complejo,GPT-3.5_fs_multiplication
Los diseñadores están trabajando en nuevas tendencias para la próxima temporada.,Las diseñadoras y diseñadores están trabajando en nuevas tendencias para la próxima temporada.,plural_complejo,GPT-3.5_fs_multiplication
Los entrenadores prepararon un plan de entrenamiento intensivo.,Los entrenadores y entrenadoras prepararon un plan de entrenamiento intensivo.,plural_complejo,GPT-3.5_fs_multiplication
Los hombres de negocio discutieron nuevas oportunidades de inversión.,Las mujeres y hombres de negocios discutieron nuevas oportunidades de inversión.,plural_complejo,GPT-3.5_fs_multiplication
Los camareros tomaron nota de los pedidos de los clientes.,Las camareras y camareros tomaron nota de los pedidos de la clientela.,plural_complejo,GPT-3.5_fs_multiplication
Los cuidadores brindaron apoyo emocional a los pacientes enfermos.,El equipo que desempeña las tareas de cuidado brindaron apoyo emocional a los pacientes enfermos.,plural_complejo,GPT-3.5_fs_multiplication
Los abogados representaron a sus clientes en el tribunal con profesionalismo.,La abogacía representó a sus clientes en el tribunal con profesionalismo.,plural_complejo,GPT-3.5_fs_multiplication
Los lugareños conocen los secretos mejor guardados del pueblo.,Las personas del lugar conocen los secretos mejor guardados del pueblo.,plural_complejo,GPT-3.5_fs_multiplication
Los deudores deben cumplir con sus obligaciones financieras.,Quienes tienen deudas deben cumplir con sus obligaciones financieras.,plural_complejo,GPT-3.5_fs_multiplication
Los delincuentes fueron condenados a prisión por sus crímenes.,Las personas que cometieron los actos delictivos fueron condenados a prisión por sus crímenes.,plural_complejo,GPT-3.5_fs_multiplication
A los visitantes se les ofrecerá una degustación gratuita de vinos.,A las visitas se les ofrecerá una degustación gratuita de vinos.,plural_complejo,GPT-3.5_fs_multiplication
Los clientes pueden pagar con tarjeta de crédito o efectivo.,La clientela puede dejar sus comentarios en nuestro libro de quejas.,plural_complejo,GPT-3.5_fs_multiplication
Los niños se divirtieron en el parque de atracciones.,Las niñas y niños se divirtieron en el parque de atracciones.,plural_complejo,GPT-3.5_fs_multiplication
Los participantes deben seguir las instrucciones del instructor.,Las personas participantes deben seguir las instrucciones del instructor.,plural_complejo,GPT-3.5_fs_multiplication
Los representantes de los trabajadores exigieron un aumento salarial.,El grupo de representantes de la plantilla exigió un aumento salarial.,plural_complejo,GPT-3.5_fs_multiplication
Los trabajadores y sus esposas disfrutaron de la cena de gala.,La plantilla y sus familias disfrutaron de la cena de gala.,plural_complejo,GPT-3.5_fs_multiplication
Los veterinarios tratan a todo tipo de animales en su clínica.,Los veterinarios y veterinarias tratan a todo tipo de animales en su clínica.,plural_complejo,GPT-3.5_fs_multiplication
Los peluqueros ofrecen servicios de peinado para ocasiones especiales.,Los peluqueros y peluqueras ofrecen servicios de peinado para ocasiones especiales.,plural_complejo,GPT-3.5_fs_multiplication
Los diseñadores están explorando nuevas ideas para sus próximas colecciones.,Las diseñadoras y diseñadores están explorando nuevas ideas para sus próximas colecciones.,plural_complejo,GPT-3.5_fs_multiplication
Los entrenadores están comprometidos con el éxito de sus equipos.,Los entrenadores y entrenadoras están comprometidos con el éxito de sus equipos.,plural_complejo,GPT-3.5_fs_multiplication
Los hombres de negocio están buscando socios comerciales en el extranjero.,Las mujeres y hombres de negocios están buscando socios comerciales en el extranjero.,plural_complejo,GPT-3.5_fs_multiplication
Los camareros atendieron todas las mesas con diligencia.,Las camareras y camareros atendieron todas las mesas con diligencia.,plural_complejo,GPT-3.5_fs_multiplication
Los cuidadores proporcionaron cuidados excepcionales a los pacientes.,Quienes desempeñan tareas de cuidado proporcionaron cuidados excepcionales a los pacientes.,plural_complejo,GPT-3.5_fs_multiplication
Los abogados lucharon por la justicia en el caso de sus clientes.,La abogacía luchó por la justicia en el caso de sus clientes.,plural_complejo,GPT-3.5_fs_multiplication
Los lugareños celebraron una fiesta tradicional en el pueblo.,Las personas del lugar celebraron una fiesta tradicional en el pueblo.,plural_complejo,GPT-3.5_fs_multiplication
Los deudores deben comunicarse con el departamento de cobranzas.,Quienes tengan deudas deben comunicarse con el departamento de cobranzas.,plural_complejo,GPT-3.5_fs_multiplication
Los delincuentes fueron detenidos por la policía en el aeropuerto.,Las personas que cometieron actos delictivos fueron detenidas por la policía en el aeropuerto.,plural_complejo,GPT-3.5_fs_multiplication
La junta directiva contó con la participación de los consejeros.,La junta directiva contó con la participación de la consejería.,plural_neutro,GPT-3.5_fs_multiplication
Los líderes juveniles promovieron la inclusión de los jóvenes en la comunidad.,Los líderes juveniles promovieron la inclusión de la juventud en la comunidad.,plural_neutro,GPT-3.5_fs_multiplication
Los proyectos vecinales fortalecen el sentido de comunidad entre los vecinos.,Los proyectos vecinales fortalecen el sentido de comunidad en el vecindario.,plural_neutro,GPT-3.5_fs_multiplication
Los recursos humanos reconocieron el esfuerzo de los empleados.,Los recursos humanos reconocieron el esfuerzo del personal.,plural_neutro,GPT-3.5_fs_multiplication
El mandato del presidente finaliza el próximo año.,El mandato de la presidencia finaliza el próximo año.,plural_neutro,GPT-3.5_fs_multiplication
Los estudiantes demostraron su talento en el concurso de ciencias.,El estudiantado demostró su talento en el concurso de ciencias.,plural_neutro,GPT-3.5_fs_multiplication
Los profesores brindaron apoyo a los estudiantes durante la pandemia.,El profesorado brindó apoyo a los estudiantes durante la pandemia.,plural_neutro,GPT-3.5_fs_multiplication
Los secretarios manejan la correspondencia con eficiencia.,La secretaría maneja la correspondencia con eficiencia.,plural_neutro,GPT-3.5_fs_multiplication
Los organizadores del evento están preparando los detalles finales.,La organización del evento está preparando los detalles finales.,plural_neutro,GPT-3.5_fs_multiplication
Los votantes expresaron su opinión en las elecciones locales.,El electorado expresó su opinión en las elecciones locales.,plural_neutro,GPT-3.5_fs_multiplication
El intendente anunció nuevas medidas para mejorar la seguridad vial.,La intendencia anunció nuevas medidas para mejorar la seguridad vial.,plural_neutro,GPT-3.5_fs_multiplication
Los funcionarios públicos trabajan para servir a la comunidad.,El funcionariado público trabaja para servir a la comunidad.,plural_neutro,GPT-3.5_fs_multiplication
El vicedirector supervisó la implementación del nuevo plan de estudios.,La vicedirección supervisó la implementación del nuevo plan de estudios.,plural_neutro,GPT-3.5_fs_multiplication
Los coordinadores se encargan de organizar las actividades del equipo.,La coordinación se encarga de organizar las actividades del equipo.,plural_neutro,GPT-3.5_fs_multiplication
Los representantes sindicales negociaron mejores condiciones laborales.,La representación sindical negoció mejores condiciones laborales.,plural_neutro,GPT-3.5_fs_multiplication
Los asesores legales recomendaron consultar con un experto.,La asesoría legal recomendó consultar con un experto.,plural_neutro,GPT-3.5_fs_multiplication
Los alumnos destacaron en la competencia deportiva intercolegial.,El alumnado destacó en la competencia deportiva intercolegial.,plural_neutro,GPT-3.5_fs_multiplication
El vicepresidente presentó el informe financiero en la conferencia.,La vicepresidencia presentó el informe financiero en la conferencia.,plural_neutro,GPT-3.5_fs_multiplication
Los ciudadanos ejercieron su derecho al voto en las elecciones.,La ciudadanía ejerció su derecho al voto en las elecciones.,plural_neutro,GPT-3.5_fs_multiplication
Los directores evaluaron el desempeño del personal administrativo.,La dirección evaluó el desempeño del personal administrativo.,plural_neutro,GPT-3.5_fs_multiplication
El gobernador anunció inversiones en infraestructura.,El gobierno anunció inversiones en infraestructura.,plural_neutro,GPT-3.5_fs_multiplication
Los senadores discutieron sobre la ley de medio ambiente.,El Senado discutió sobre la ley de medio ambiente.,plural_neutro,GPT-3.5_fs_multiplication
Los jefes motivaron al equipo a alcanzar sus metas.,La jefatura motivó al equipo a alcanzar sus metas.,plural_neutro,GPT-3.5_fs_multiplication
Los ministros trabajan en políticas para combatir el cambio climático.,Los ministerios trabajan en políticas para combatir el cambio climático.,plural_neutro,GPT-3.5_fs_multiplication
Las secretarias gestionaron las agendas de los directivos.,La secretaría gestionó las agendas de los directivos.,plural_neutro,GPT-3.5_fs_multiplication
Los delegados participaron en la negociación del tratado comercial.,La delegación participó en la negociación del tratado comercial.,plural_neutro,GPT-3.5_fs_multiplication
Se convoca a los Coordinadores para una reunión urgente.,Se convoca a la Coordinación para una reunión urgente.,plural_neutro,GPT-3.5_fs_multiplication
Los diputados presentaron un proyecto de ley para mejorar la educación.,El Congreso presentó un proyecto de ley para mejorar la educación.,plural_neutro,GPT-3.5_fs_multiplication
Los invitados y sus esposas disfrutaron de la cena de gala.,Los participantes y sus cónyuges disfrutaron de la cena de gala.,plural_neutro,GPT-3.5_fs_multiplication
El respeto por el hombre es fundamental en cualquier sociedad.,El respeto por el ser humano es fundamental en cualquier sociedad.,plural_neutro,GPT-3.5_fs_multiplication
Los estudiantes recibieron orientación de los profesores de la universidad.,El estudiantado recibió orientación del profesorado de la universidad.,plural_neutro,GPT-3.5_fs_multiplication
Se anunciaron nuevas medidas económicas por parte del presidente.,Se anunciaron nuevas medidas económicas por parte de la presidencia.,plural_neutro,GPT-3.5_fs_multiplication
Los clientes recibieron recomendaciones de los asesores legales.,Los clientes recibieron recomendaciones de la asesoría legal.,plural_neutro,GPT-3.5_fs_multiplication
La sentencia en el caso de corrupción fue dictada por los jueces.,La sentencia en el caso de corrupción fue dictada por el poder judicial.,plural_neutro,GPT-3.5_fs_multiplication
"En la oficina, los archivos fueron organizados por las secretarias.","En la oficina, los archivos fueron organizados por la secretaría.",plural_neutro,GPT-3.5_fs_multiplication
"En la conferencia, se presentó el plan de salud por parte del ministro.","En la conferencia, se presentó el plan de salud por parte del ministerio.",plural_neutro,GPT-3.5_fs_multiplication
Hubo participación de los jóvenes en actividades deportivas.,Hubo participación de la juventud en actividades deportivas.,plural_neutro,GPT-3.5_fs_multiplication
El gobernador impulsó la educación en la región.,El gobierno impulsó la educación en la región.,plural_neutro,GPT-3.5_fs_multiplication
Los directores estuvieron supervisando la implementación del proyecto.,La dirección estuvo supervisando la implementación del proyecto.,plural_neutro,GPT-3.5_fs_multiplication
Las importantes noticias fueron comunicadas por el director del centro.,Las importantes noticias fueron comunicadas por la dirección del centro.,plural_neutro,GPT-3.5_fs_multiplication
Los docentes recibieron colaboración estrecha del vicedirector.,El personal docente recibió colaboración estrecha de la vicedirección.,plural_neutro,GPT-3.5_fs_multiplication
"En el concurso de matemáticas, los alumnos destacaron.","En el concurso de matemáticas, el alumnado destacó.",plural_neutro,GPT-3.5_fs_multiplication
El informe financiero fue presentado por el vicepresidente.,El informe financiero fue presentado por la vicepresidencia.,plural_neutro,GPT-3.5_fs_multiplication
Los niños fueron atendidos en el hospital por razones médicas.,Las niñas y niños fueron atendidos en el hospital por razones médicas.,plural_neutro,GPT-3.5_fs_multiplication
El derecho al voto fue ejercido por los ciudadanos.,El derecho al voto fue ejercido por la ciudadanía.,plural_neutro,GPT-3.5_fs_multiplication
El equipo fue motivado por los jefes para alcanzar sus metas.,El equipo fue motivado por la jefatura para alcanzar sus metas.,plural_neutro,GPT-3.5_fs_multiplication
"En el país, hay un aumento en el número de parados.","En el país, hay un aumento en el número de personas desempleadas.",plural_neutro,GPT-3.5_fs_multiplication
La reforma fiscal fue debatida por los legisladores.,La legislación fue debatida por el Senado.,plural_neutro,GPT-3.5_fs_multiplication
Un nuevo parque público fue inaugurado por el intendente.,Un nuevo parque público fue inaugurado por la intendencia.,plural_neutro,GPT-3.5_fs_multiplication
Se implementó un plan de salud por los ministros.,Se implementó un plan de salud por parte de los ministerios.,plural_neutro,GPT-3.5_fs_multiplication
Los casos de corrupción fueron investigados por los senadores.,Los casos de corrupción fueron investigados por el Senado.,plural_neutro,GPT-3.5_fs_multiplication
Los esposos acompañaron a los participantes de la conferencia al almuerzo.,Las personas que participaron de la conferencia y sus parejas disfrutaron de la cena.,plural_neutro,GPT-3.5_fs_multiplication
La gestión de los recursos públicos fue llevada a cabo por los funcionarios.,La gestión de los recursos públicos fue llevada a cabo por el funcionariado.,plural_neutro,GPT-3.5_fs_multiplication
Los tratados comerciales fueron negociados por los delegados.,Los tratados comerciales fueron negociados por la delegación.,plural_neutro,GPT-3.5_fs_multiplication
El evento fue organizado con éxito por los coordinadores.,El evento fue organizado con éxito por la coordinación.,plural_neutro,GPT-3.5_fs_multiplication
Los niños fueron asistidos por profesionales en el hospital.,Las niñas y niños fueron asistidas por profesionales en el hospital.,plural_neutro,GPT-3.5_fs_multiplication
Los estudiantes universitarios se preparan para los exámenes finales.,El estudiantado se prepara para los exámenes finales.,plural_neutro,GPT-3.5_fs_multiplication
Se publicó un artículo científico por parte de los profesores universitarios.,Se publicó un artículo científico por parte del estudiantado.,plural_neutro,GPT-3.5_fs_multiplication
Hubo anuncios de cambios en la dirección por parte del presidente de la compañía.,Hubo anuncios de cambios en la dirección por parte de la presidencia de la compañía.,plural_neutro,GPT-3.5_fs_multiplication
Los clientes recibieron asistencia por parte de los asesores financieros.,La clientela recibió asistencia por parte de la asesoría financiera.,plural_neutro,GPT-3.5_fs_multiplication
Las decisiones judiciales fueron basadas en la ley por los jueces.,Las decisiones judiciales fueron basadas en la ley por el poder judicial.,plural_neutro,GPT-3.5_fs_multiplication
Los visitantes fueron recibidos en la recepción por las secretarias.,Las visitas fueron recibidas en la recepción por la secretaría.,plural_neutro,GPT-3.5_fs_multiplication
Las leyes fueron promulgadas por el ministro de educación.,Las leyes fueron promulgadas por el ministerio de educación.,plural_neutro,GPT-3.5_fs_multiplication
Se llevó a cabo una campaña de vacunación por los ministros de salud.,Se llevó a cabo una campaña de vacunación por los ministerios de salud.,plural_neutro,GPT-3.5_fs_multiplication
La reforma fue aprobada por los senadores.,La reforma fue aprobada por el Senado.,plural_neutro,GPT-3.5_fs_multiplication
Los participantes de la conferencia y sus parejas disfrutaron de la cena.,Las personas que participaron de la conferencia y sus parejas disfrutaron de la cena.,plural_neutro,GPT-3.5_fs_multiplication
Los funcionarios públicos trabajaron horas extras para completar el proyecto.,El funcionariado público trabajó horas extras para completar el proyecto.,plural_neutro,GPT-3.5_fs_multiplication
La cumbre internacional fue asistida por los delegados.,La cumbre internacional fue asistida por la delegación.,plural_neutro,GPT-3.5_fs_multiplication
La coordinación del evento estuvo a cargo de los coordinadores.,La coordinación del evento estuvo a cargo de las personas coordinadoras.,plural_neutro,GPT-3.5_fs_multiplication
Los niños disfrutaron de una visita al parque de atracciones.,Las niñas y niños disfrutaron de una visita al parque de atracciones.,plural_neutro,GPT-3.5_fs_multiplication
Las personas indigentes merecen compasión y apoyo.,Las personas en situación de indigencia merecen compasión y apoyo.,terminologia,GPT-3.5_fs_multiplication
Los ancianos requieren cuidados especiales para mantener su calidad de vida.,Las personas mayores requieren cuidados especiales para mantener su calidad de vida.,terminologia,GPT-3.5_fs_multiplication
El cojo caminaba con dificultad debido a su lesión en la pierna.,La persona que cojeaba caminaba con dificultad debido a su lesión en la pierna.,terminologia,GPT-3.5_fs_multiplication
Las personas discapacitadas necesitan accesibilidad en los espacios públicos.,Las personas con discapacidad física necesitan accesibilidad en los espacios públicos.,terminologia,GPT-3.5_fs_multiplication
